Instance 1 | Big:
Plants:
1.- Max distribution: 1747
-Send cost:
      -Center 17: 754
      -Center 18: 601
      -Center 19: 967
      -Center 20: 564
      -Center 21: 302
      -Center 22: 223
      -Center 23: 694
      -Center 24: 993
      -Center 25: 473
      -Center 26: 594
      -Center 27: 732
      -Center 28: 354
      -Center 29: 851
      -Center 30: 465
      -Center 31: 826
      -Center 32: 971
      -Center 33: 296
      -Center 34: 304
12.- Max distribution: 1229
-Send cost:
      -Center 1: 325
      -Center 2: 656
      -Center 3: 548
      -Center 4: 234
      -Center 5: 179
      -Center 6: 956
      -Center 7: 640
      -Center 8: 154
      -Center 9: 435
      -Center 10: 743
      -Center 11: 982
      -Center 12: 564
      -Center 13: 378
      -Center 14: 342
      -Center 15: 222
      -Center 16: 130
      -Center 17: 859
      -Center 18: 392
      -Center 19: 750
      -Center 20: 200
      -Center 21: 189
      -Center 22: 299
      -Center 23: 338
      -Center 24: 169
      -Center 25: 561
      -Center 26: 537
      -Center 27: 529
      -Center 28: 423
      -Center 29: 269
      -Center 30: 421
      -Center 31: 306
      -Center 32: 537
      -Center 33: 450
      -Center 34: 798
13.- Max distribution: 1115
-Send cost:
      -Center 1: 523
      -Center 2: 887
      -Center 3: 358
      -Center 4: 333
      -Center 5: 192
      -Center 6: 124
      -Center 7: 235
      -Center 8: 258
      -Center 9: 352
      -Center 10: 879
      -Center 11: 782
      -Center 12: 587
      -Center 13: 703
      -Center 14: 219
      -Center 15: 824
      -Center 16: 289
      -Center 17: 685
      -Center 18: 724
      -Center 19: 261
      -Center 20: 644
      -Center 21: 831
      -Center 22: 355
      -Center 23: 937
      -Center 24: 664
      -Center 25: 798
      -Center 26: 271
      -Center 27: 626
      -Center 28: 640
      -Center 29: 174
      -Center 30: 624
      -Center 31: 396
      -Center 32: 897
      -Center 33: 276
      -Center 34: 425
14.- Max distribution: 1493
-Send cost:
      -Center 1: 158
      -Center 2: 474
      -Center 3: 770
      -Center 4: 434
      -Center 5: 367
      -Center 6: 111
      -Center 7: 192
      -Center 8: 374
      -Center 9: 104
      -Center 10: 462
      -Center 11: 812
      -Center 12: 427
      -Center 13: 364
      -Center 14: 306
      -Center 15: 452
      -Center 16: 502
      -Center 17: 689
      -Center 18: 547
      -Center 19: 226
      -Center 20: 530
      -Center 21: 876
      -Center 22: 152
      -Center 23: 127
      -Center 24: 964
      -Center 25: 378
      -Center 26: 206
      -Center 27: 866
      -Center 28: 412
      -Center 29: 604
      -Center 30: 296
      -Center 31: 623
      -Center 32: 269
      -Center 33: 126
      -Center 34: 288
15.- Max distribution: 1405
-Send cost:
      -Center 1: 565
      -Center 2: 561
      -Center 3: 694
      -Center 4: 121
      -Center 5: 854
      -Center 6: 122
      -Center 7: 813
      -Center 8: 229
      -Center 9: 941
      -Center 10: 597
      -Center 11: 366
      -Center 12: 764
      -Center 13: 543
      -Center 14: 634
      -Center 15: 836
      -Center 16: 496
      -Center 17: 489
      -Center 18: 192
      -Center 19: 318
      -Center 20: 605
      -Center 21: 787
      -Center 22: 643
      -Center 23: 845
      -Center 24: 393
      -Center 25: 597
      -Center 26: 582
      -Center 27: 471
      -Center 28: 826
      -Center 29: 389
      -Center 30: 282
      -Center 31: 436
      -Center 32: 658
      -Center 33: 518
      -Center 34: 660
16.- Max distribution: 1778
-Send cost:
      -Center 1: 711
      -Center 2: 995
      -Center 3: 404
      -Center 4: 760
      -Center 5: 800
      -Center 6: 226
      -Center 7: 604
      -Center 8: 860
      -Center 9: 797
      -Center 10: 966
      -Center 11: 319
      -Center 12: 289
      -Center 13: 629
      -Center 14: 782
      -Center 15: 873
      -Center 16: 228
      -Center 17: 201
      -Center 18: 843
      -Center 19: 432
      -Center 20: 889
      -Center 21: 591
      -Center 22: 686
      -Center 23: 704
      -Center 24: 512
      -Center 25: 726
      -Center 26: 131
      -Center 27: 734
      -Center 28: 897
      -Center 29: 492
      -Center 30: 226
      -Center 31: 157
      -Center 32: 962
      -Center 33: 855
      -Center 34: 839
17.- Max distribution: 1379
-Send cost:
      -Center 1: 209
      -Center 2: 517
      -Center 3: 761
      -Center 4: 935
      -Center 5: 993
      -Center 6: 273
      -Center 7: 969
      -Center 8: 103
      -Center 9: 811
      -Center 10: 902
      -Center 11: 443
      -Center 12: 331
      -Center 13: 907
      -Center 14: 716
      -Center 15: 303
      -Center 16: 344
      -Center 17: 869
      -Center 18: 378
      -Center 19: 747
      -Center 20: 525
      -Center 21: 709
      -Center 22: 289
      -Center 23: 410
      -Center 24: 676
      -Center 25: 125
      -Center 26: 938
      -Center 27: 827
      -Center 28: 136
      -Center 29: 655
      -Center 30: 697
      -Center 31: 233
      -Center 32: 749
      -Center 33: 629
      -Center 34: 628
18.- Max distribution: 1333
-Send cost:
      -Center 1: 1000
      -Center 2: 224
      -Center 3: 393
      -Center 4: 491
      -Center 5: 521
      -Center 6: 111
      -Center 7: 522
      -Center 8: 524
      -Center 9: 754
      -Center 10: 302
      -Center 11: 301
      -Center 12: 971
      -Center 13: 612
      -Center 14: 945
      -Center 15: 973
      -Center 16: 531
      -Center 17: 425
      -Center 18: 259
      -Center 19: 519
      -Center 20: 327
      -Center 21: 982
      -Center 22: 616
      -Center 23: 918
      -Center 24: 823
      -Center 25: 725
      -Center 26: 324
      -Center 27: 290
      -Center 28: 213
      -Center 29: 161
      -Center 30: 796
      -Center 31: 610
      -Center 32: 929
      -Center 33: 651
      -Center 34: 246
19.- Max distribution: 1816
-Send cost:
      -Center 1: 165
      -Center 2: 178
      -Center 3: 305
      -Center 4: 930
      -Center 5: 302
      -Center 6: 925
      -Center 7: 172
      -Center 8: 140
      -Center 9: 518
      -Center 10: 332
      -Center 11: 618
      -Center 12: 326
      -Center 13: 391
      -Center 14: 847
      -Center 15: 286
      -Center 16: 262
      -Center 17: 784
      -Center 18: 276
      -Center 19: 402
      -Center 20: 265
      -Center 21: 250
      -Center 22: 330
      -Center 23: 506
      -Center 24: 135
      -Center 25: 862
      -Center 26: 277
      -Center 27: 479
      -Center 28: 171
      -Center 29: 598
      -Center 30: 563
      -Center 31: 740
      -Center 32: 397
      -Center 33: 746
      -Center 34: 321
20.- Max distribution: 1266
-Send cost:
      -Center 1: 910
      -Center 2: 708
      -Center 3: 134
      -Center 4: 132
      -Center 5: 349
      -Center 6: 353
      -Center 7: 428
      -Center 8: 820
      -Center 9: 807
      -Center 10: 104
      -Center 11: 900
      -Center 12: 822
      -Center 13: 210
      -Center 14: 533
      -Center 15: 375
      -Center 16: 498
      -Center 17: 355
      -Center 18: 180
      -Center 19: 108
      -Center 20: 912
      -Center 21: 540
      -Center 22: 749
      -Center 23: 464
      -Center 24: 617
      -Center 25: 763
      -Center 26: 699
      -Center 27: 578
      -Center 28: 878
      -Center 29: 777
      -Center 30: 215
      -Center 31: 704
      -Center 32: 147
      -Center 33: 408
      -Center 34: 212
21.- Max distribution: 1133
-Send cost:
      -Center 1: 504
      -Center 2: 458
      -Center 3: 544
      -Center 4: 188
      -Center 5: 140
      -Center 6: 264
      -Center 7: 459
      -Center 8: 944
      -Center 9: 749
      -Center 10: 952
      -Center 11: 150
      -Center 12: 919
      -Center 13: 822
      -Center 14: 612
      -Center 15: 480
      -Center 16: 948
      -Center 17: 799
      -Center 18: 525
      -Center 19: 965
      -Center 20: 248
      -Center 21: 452
      -Center 22: 107
      -Center 23: 869
      -Center 24: 797
      -Center 25: 648
      -Center 26: 617
      -Center 27: 476
      -Center 28: 549
      -Center 29: 767
      -Center 30: 285
      -Center 31: 901
      -Center 32: 306
      -Center 33: 778
      -Center 34: 128
22.- Max distribution: 1465
-Send cost:
      -Center 1: 498
      -Center 2: 837
      -Center 3: 186
      -Center 4: 459
      -Center 5: 184
      -Center 6: 198
      -Center 7: 279
      -Center 8: 860
      -Center 9: 283
      -Center 10: 705
      -Center 11: 350
      -Center 12: 357
      -Center 13: 816
      -Center 14: 948
      -Center 15: 286
      -Center 16: 792
      -Center 17: 163
      -Center 18: 159
      -Center 19: 116
      -Center 20: 838
      -Center 21: 366
      -Center 22: 446
      -Center 23: 546
      -Center 24: 183
      -Center 25: 141
      -Center 26: 481
      -Center 27: 873
      -Center 28: 403
      -Center 29: 795
      -Center 30: 343
      -Center 31: 455
      -Center 32: 310
      -Center 33: 449
      -Center 34: 400
23.- Max distribution: 1346
-Send cost:
      -Center 1: 425
      -Center 2: 444
      -Center 3: 242
      -Center 4: 910
      -Center 5: 155
      -Center 6: 574
      -Center 7: 397
      -Center 8: 526
      -Center 9: 667
      -Center 10: 522
      -Center 11: 379
      -Center 12: 594
      -Center 13: 809
      -Center 14: 436
      -Center 15: 436
      -Center 16: 339
      -Center 17: 398
      -Center 18: 320
      -Center 19: 456
      -Center 20: 913
      -Center 21: 852
      -Center 22: 274
      -Center 23: 684
      -Center 24: 532
      -Center 25: 329
      -Center 26: 830
      -Center 27: 152
      -Center 28: 210
      -Center 29: 947
      -Center 30: 471
      -Center 31: 599
      -Center 32: 510
      -Center 33: 249
      -Center 34: 959
24.- Max distribution: 1275
-Send cost:
      -Center 1: 903
      -Center 2: 340
      -Center 3: 900
      -Center 4: 387
      -Center 5: 767
      -Center 6: 533
      -Center 7: 952
      -Center 8: 975
      -Center 9: 418
      -Center 10: 690
      -Center 11: 129
      -Center 12: 149
      -Center 13: 664
      -Center 14: 599
      -Center 15: 918
      -Center 16: 330
      -Center 17: 627
      -Center 18: 492
      -Center 19: 196
      -Center 20: 852
      -Center 21: 637
      -Center 22: 168
      -Center 23: 362
      -Center 24: 200
      -Center 25: 222
      -Center 26: 817
      -Center 27: 173
      -Center 28: 990
      -Center 29: 284
      -Center 30: 491
      -Center 31: 375
      -Center 32: 290
      -Center 33: 169
      -Center 34: 220
25.- Max distribution: 1835
-Send cost:
      -Center 1: 711
      -Center 2: 233
      -Center 3: 971
      -Center 4: 731
      -Center 5: 827
      -Center 6: 917
      -Center 7: 835
      -Center 8: 741
      -Center 9: 410
      -Center 10: 111
      -Center 11: 514
      -Center 12: 340
      -Center 13: 525
      -Center 14: 574
      -Center 15: 332
      -Center 16: 112
      -Center 17: 459
      -Center 18: 983
      -Center 19: 489
      -Center 20: 751
      -Center 21: 357
      -Center 22: 261
      -Center 23: 825
      -Center 24: 547
      -Center 25: 923
      -Center 26: 486
      -Center 27: 698
      -Center 28: 967
      -Center 29: 857
      -Center 30: 736
      -Center 31: 461
      -Center 32: 653
      -Center 33: 146
      -Center 34: 733
26.- Max distribution: 1065
-Send cost:
      -Center 1: 402
      -Center 2: 990
      -Center 3: 703
      -Center 4: 942
      -Center 5: 351
      -Center 6: 230
      -Center 7: 506
      -Center 8: 634
      -Center 9: 577
      -Center 10: 399
      -Center 11: 656
      -Center 12: 373
      -Center 13: 602
      -Center 14: 924
      -Center 15: 810
      -Center 16: 686
      -Center 17: 993
      -Center 18: 442
      -Center 19: 773
      -Center 20: 289
      -Center 21: 110
      -Center 22: 872
      -Center 23: 607
      -Center 24: 792
      -Center 25: 296
      -Center 26: 435
      -Center 27: 213
      -Center 28: 135
      -Center 29: 600
      -Center 30: 712
      -Center 31: 176
      -Center 32: 903
      -Center 33: 472
      -Center 34: 640
Centers:
1.- Max manage: 850 | Operation cost: 1122
-Send cost:
      -Zone 1: 945
      -Zone 2: 639
      -Zone 3: 373
      -Zone 4: 928
      -Zone 5: 799
      -Zone 6: 594
      -Zone 7: 454
      -Zone 8: 368
      -Zone 9: 205
      -Zone 10: 761
      -Zone 11: 341
      -Zone 12: 310
      -Zone 13: 309
      -Zone 14: 705
      -Zone 15: 574
      -Zone 16: 424
      -Zone 17: 919
      -Zone 18: 536
      -Zone 19: 385
      -Zone 20: 807
      -Zone 21: 156
      -Zone 22: 781
      -Zone 23: 824
      -Zone 24: 436
      -Zone 25: 586
      -Zone 26: 556
      -Zone 27: 426
      -Zone 28: 954
      -Zone 29: 778
      -Zone 30: 955
      -Zone 31: 837
      -Zone 32: 857
      -Zone 33: 775
      -Zone 34: 881
      -Zone 35: 473
      -Zone 36: 562
      -Zone 37: 498
      -Zone 38: 726
      -Zone 39: 242
2.- Max manage: 595 | Operation cost: 659
-Send cost:
      -Zone 1: 451
      -Zone 2: 418
      -Zone 3: 702
      -Zone 4: 247
      -Zone 5: 455
      -Zone 6: 525
      -Zone 7: 967
      -Zone 8: 505
      -Zone 9: 834
      -Zone 10: 745
      -Zone 11: 550
      -Zone 12: 961
      -Zone 13: 439
      -Zone 14: 799
      -Zone 15: 503
      -Zone 16: 345
      -Zone 17: 646
      -Zone 18: 249
      -Zone 19: 295
      -Zone 20: 527
      -Zone 21: 925
      -Zone 22: 631
      -Zone 23: 571
      -Zone 24: 125
      -Zone 25: 187
      -Zone 26: 726
      -Zone 27: 291
      -Zone 28: 504
      -Zone 29: 248
      -Zone 30: 546
      -Zone 31: 954
      -Zone 32: 414
      -Zone 33: 667
      -Zone 34: 147
      -Zone 35: 694
      -Zone 36: 303
      -Zone 37: 382
      -Zone 38: 171
      -Zone 39: 395
3.- Max manage: 338 | Operation cost: 1175
-Send cost:
      -Zone 1: 851
      -Zone 2: 398
      -Zone 3: 731
      -Zone 4: 696
      -Zone 5: 764
      -Zone 6: 611
      -Zone 7: 116
      -Zone 8: 232
      -Zone 9: 368
      -Zone 10: 950
      -Zone 11: 409
      -Zone 12: 562
      -Zone 13: 767
      -Zone 14: 922
      -Zone 15: 476
      -Zone 16: 721
      -Zone 17: 929
      -Zone 18: 561
      -Zone 19: 631
      -Zone 20: 804
      -Zone 21: 167
      -Zone 22: 427
      -Zone 23: 846
      -Zone 24: 483
      -Zone 25: 207
      -Zone 26: 228
      -Zone 27: 551
      -Zone 28: 587
      -Zone 29: 752
      -Zone 30: 150
      -Zone 31: 584
      -Zone 32: 267
      -Zone 33: 545
      -Zone 34: 213
      -Zone 35: 275
      -Zone 36: 670
      -Zone 37: 120
      -Zone 38: 874
      -Zone 39: 135
4.- Max manage: 367 | Operation cost: 937
-Send cost:
      -Zone 1: 183
      -Zone 2: 322
      -Zone 3: 983
      -Zone 4: 365
      -Zone 5: 221
      -Zone 6: 992
      -Zone 7: 753
      -Zone 8: 867
      -Zone 9: 839
      -Zone 10: 690
      -Zone 11: 667
      -Zone 12: 867
      -Zone 13: 500
      -Zone 14: 130
      -Zone 15: 843
      -Zone 16: 535
      -Zone 17: 548
      -Zone 18: 350
      -Zone 19: 745
      -Zone 20: 907
      -Zone 21: 172
      -Zone 22: 989
      -Zone 23: 603
      -Zone 24: 698
      -Zone 25: 946
      -Zone 26: 628
      -Zone 27: 194
      -Zone 28: 331
      -Zone 29: 869
      -Zone 30: 677
      -Zone 31: 914
      -Zone 32: 914
      -Zone 33: 922
      -Zone 34: 201
      -Zone 35: 946
      -Zone 36: 265
      -Zone 37: 191
      -Zone 38: 904
      -Zone 39: 578
5.- Max manage: 736 | Operation cost: 765
-Send cost:
      -Zone 1: 946
      -Zone 2: 340
      -Zone 3: 600
      -Zone 4: 319
      -Zone 5: 395
      -Zone 6: 593
      -Zone 7: 892
      -Zone 8: 729
      -Zone 9: 345
      -Zone 10: 749
      -Zone 11: 272
      -Zone 12: 787
      -Zone 13: 372
      -Zone 14: 978
      -Zone 15: 235
      -Zone 16: 984
      -Zone 17: 760
      -Zone 18: 615
      -Zone 19: 322
      -Zone 20: 806
      -Zone 21: 473
      -Zone 22: 101
      -Zone 23: 913
      -Zone 24: 978
      -Zone 25: 720
      -Zone 26: 659
      -Zone 27: 392
      -Zone 28: 587
      -Zone 29: 872
      -Zone 30: 905
      -Zone 31: 200
      -Zone 32: 264
      -Zone 33: 734
      -Zone 34: 405
      -Zone 35: 600
      -Zone 36: 758
      -Zone 37: 476
      -Zone 38: 903
      -Zone 39: 835
6.- Max manage: 542 | Operation cost: 1204
-Send cost:
      -Zone 1: 300
      -Zone 2: 385
      -Zone 3: 303
      -Zone 4: 141
      -Zone 5: 112
      -Zone 6: 207
      -Zone 7: 928
      -Zone 8: 236
      -Zone 9: 945
      -Zone 10: 128
      -Zone 11: 437
      -Zone 12: 331
      -Zone 13: 410
      -Zone 14: 737
      -Zone 15: 922
      -Zone 16: 409
      -Zone 17: 189
      -Zone 18: 878
      -Zone 19: 872
      -Zone 20: 615
      -Zone 21: 290
      -Zone 22: 765
      -Zone 23: 627
      -Zone 24: 495
      -Zone 25: 319
      -Zone 26: 263
      -Zone 27: 589
      -Zone 28: 518
      -Zone 29: 524
      -Zone 30: 808
      -Zone 31: 872
      -Zone 32: 122
      -Zone 33: 354
      -Zone 34: 719
      -Zone 35: 682
      -Zone 36: 430
      -Zone 37: 354
      -Zone 38: 171
      -Zone 39: 735
7.- Max manage: 444 | Operation cost: 1026
-Send cost:
      -Zone 1: 526
      -Zone 2: 860
      -Zone 3: 923
      -Zone 4: 979
      -Zone 5: 313
      -Zone 6: 770
      -Zone 7: 502
      -Zone 8: 503
      -Zone 9: 478
      -Zone 10: 325
      -Zone 11: 879
      -Zone 12: 254
      -Zone 13: 631
      -Zone 14: 506
      -Zone 15: 110
      -Zone 16: 760
      -Zone 17: 739
      -Zone 18: 510
      -Zone 19: 295
      -Zone 20: 641
      -Zone 21: 362
      -Zone 22: 455
      -Zone 23: 452
      -Zone 24: 906
      -Zone 25: 641
      -Zone 26: 401
      -Zone 27: 243
      -Zone 28: 606
      -Zone 29: 107
      -Zone 30: 584
      -Zone 31: 560
      -Zone 32: 303
      -Zone 33: 642
      -Zone 34: 246
      -Zone 35: 682
      -Zone 36: 382
      -Zone 37: 109
      -Zone 38: 902
      -Zone 39: 439
8.- Max manage: 272 | Operation cost: 761
-Send cost:
      -Zone 1: 872
      -Zone 2: 933
      -Zone 3: 472
      -Zone 4: 338
      -Zone 5: 950
      -Zone 6: 210
      -Zone 7: 226
      -Zone 8: 194
      -Zone 9: 895
      -Zone 10: 141
      -Zone 11: 383
      -Zone 12: 276
      -Zone 13: 631
      -Zone 14: 610
      -Zone 15: 335
      -Zone 16: 368
      -Zone 17: 132
      -Zone 18: 201
      -Zone 19: 664
      -Zone 20: 102
      -Zone 21: 641
      -Zone 22: 743
      -Zone 23: 429
      -Zone 24: 918
      -Zone 25: 217
      -Zone 26: 953
      -Zone 27: 258
      -Zone 28: 448
      -Zone 29: 972
      -Zone 30: 475
      -Zone 31: 134
      -Zone 32: 790
      -Zone 33: 285
      -Zone 34: 684
      -Zone 35: 117
      -Zone 36: 767
      -Zone 37: 414
      -Zone 38: 286
      -Zone 39: 350
9.- Max manage: 639 | Operation cost: 904
-Send cost:
      -Zone 1: 101
      -Zone 2: 835
      -Zone 3: 402
      -Zone 4: 204
      -Zone 5: 936
      -Zone 6: 893
      -Zone 7: 491
      -Zone 8: 745
      -Zone 9: 494
      -Zone 10: 943
      -Zone 11: 896
      -Zone 12: 242
      -Zone 13: 770
      -Zone 14: 822
      -Zone 15: 189
      -Zone 16: 133
      -Zone 17: 379
      -Zone 18: 491
      -Zone 19: 228
      -Zone 20: 378
      -Zone 21: 487
      -Zone 22: 521
      -Zone 23: 171
      -Zone 24: 881
      -Zone 25: 331
      -Zone 26: 287
      -Zone 27: 450
      -Zone 28: 235
      -Zone 29: 404
      -Zone 30: 248
      -Zone 31: 329
      -Zone 32: 944
      -Zone 33: 785
      -Zone 34: 388
      -Zone 35: 695
      -Zone 36: 460
      -Zone 37: 457
      -Zone 38: 955
      -Zone 39: 832
10.- Max manage: 585 | Operation cost: 1192
-Send cost:
      -Zone 1: 235
      -Zone 2: 165
      -Zone 3: 695
      -Zone 4: 381
      -Zone 5: 439
      -Zone 6: 326
      -Zone 7: 501
      -Zone 8: 671
      -Zone 9: 878
      -Zone 10: 281
      -Zone 11: 889
      -Zone 12: 940
      -Zone 13: 809
      -Zone 14: 523
      -Zone 15: 716
      -Zone 16: 713
      -Zone 17: 974
      -Zone 18: 112
      -Zone 19: 245
      -Zone 20: 426
      -Zone 21: 516
      -Zone 22: 532
      -Zone 23: 228
      -Zone 24: 924
      -Zone 25: 369
      -Zone 26: 790
      -Zone 27: 187
      -Zone 28: 509
      -Zone 29: 438
      -Zone 30: 571
      -Zone 31: 547
      -Zone 32: 952
      -Zone 33: 508
      -Zone 34: 365
      -Zone 35: 106
      -Zone 36: 983
      -Zone 37: 226
      -Zone 38: 222
      -Zone 39: 962
